;Access;Project;Surname0;Surname1;Surname2;Surname3;Surname4;Initial0;Initial1;Initial2;Initial3;Initial4;Surnames;Initials;AuthorCount;Media;Title;Edition;Publisher;CityOfPub;Year;URL;Journal;Volume;Issue;Pages;Organisation;DateAccessed;DateWritten;Name_Conf;Place_Conf;Date_Conf;HCitation;HReference;Surname5;Initial5;PDF;Ed_Surname0;Ed_Surname1;Ed_Surname2;Ed_Surname3;Ed_Initial0;Ed_Initial1;Ed_Initial2;Ed_Initial3;Ed_Initial4;Chap_Surname0;Chap_Surname1;Chap_Surname2;Chap_Surname3;Chap_Initial0;Chap_Initial1;Chap_Initial2;Chap_Initial3;Chap_Initial4;Ed_Surname4;Ed_Surname5;Ed_Initial5;Chap_Surname4;Chap_Surname5;Chap_Initial5;Chap_Title;ChapCount;EdCount;Notes;CiteOverride;RefOverride;Used;CommMethod;Receiver;prep
47;;PrinciplesOfGIS;Polat;;;;;N.;;;;;;;1;journal;Utilizing GIS for the exploration of possible neolithic sitescontemporary to Göbeklitepe;;;;2023.0;https://doi.org/10.1080/10106049.2023.2240277;Geocarto International;38.0;1;2240277;;21-01-2025;;;;;Polat (2023.0);Polat, N. (2023.0) 'Utilizing GIS for the exploration of possible neolithic sitescontemporary to Göbeklitepe', Geocarto International,38.0(1), pp. 2240277. https://doi.org/10.1080/10106049.2023.2240277;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
48;;PrinciplesOfGIS;Snow;;;;;J.;;;;;;;1;book;Report on the cholera outbreak in the Parish of St. James, Westminster, during the autumn of 1854;1.0;J. Churchill;London;1855.0;https://archive.org/details/b21780778/mode/1up;;;;;;22-01-2025;;;;;Snow (1855.0);Snow, J. (1855.0) Report on the cholera outbreak in the Parish of St. James, Westminster, during the autumn of 1854. 1.0 edn. London: J. Churchill.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
49;;PrinciplesOfGIS;Picquet;Chateâuneuf;;;;C.;L.F.;;;;;;2;book;Rapport sur la marche et les effets du choléra-morbus dans Paris et les communes rurales du départment de la Seine;1.0;Impimerie Royale;Paris;1834.0;https://crouchrarebooks.com/product/books/the-first-epidemiological-maps/;;;;;;22-01-2025;;;;;Picquet, C. and Chateâuneuf, L.F. (1834.0);Picquet, C. and Chateâuneuf, L.F. (1834.0) Rapport sur la marche et les effets du choléra-morbus dans Paris et les communes rurales du départment de la Seine. 1.0 edn. Paris: Impimerie Royale.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
50;;PrinciplesOfGIS;Wymant;Ferretti;Tsallis;Charalambides;Abeler-Dörner;C.;L.;D.;M.;L.;;;5;journal;The epidemiological impact of the NHS COVID-19 app;;;;2021.0;https://doi.org/10.1038/s41586-021-03606-z;Nature;594.0;May 2021;408-412;;22-01-2025;;;;;Wymant et al. (2021.0);Wymant, C. et al. (2021.0) 'The epidemiological impact of the NHS COVID-19 app', Nature,594.0(May 2021), pp. 408-412. https://doi.org/10.1038/s41586-021-03606-z;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
51;;PrinciplesOfGIS;;;;;;;;;;;;;0;web;NHS Covid-19 app: How England and Wales' contact-tracing service works;;;;2020.0;https://www.bbc.co.uk/news/technology-54250736;;;;;BBC News;22-01-2025;;;;;BBC News (2020.0);BBC News (2020.0) NHS Covid-19 app: How England and Wales contact-tracing service works. Available at: https://www.bbc.co.uk/news/technology-54250736 (Accessed: 22-01-2025);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
52;;PrinciplesOfGIS;;;;;;;;;;;;;0;web;A map of Imola 1502;;;;2025.0;https://www.rct.uk/collection/912284/a-map-of-imola;;;;;Royal Collection Trust;22-01-2025;;;;;Royal Collection Trust (2025.0);Royal Collection Trust (2025.0) A map of Imola 1502. Available at: https://www.rct.uk/collection/912284/a-map-of-imola (Accessed: 22-01-2025);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
53;;PrinciplesOfGIS;Manfio;Von Arnim;;;;S.;Y.;;;;;;2;journal;Mapping Mauritius’ Underwater Cultural Heritage: A GISBased Approach to Integrating Environmental Historical Archaeology and Heritage Management;;;;2024.0;https://doi.org/10.1007/s10761-024-00760-8;International Journal of Historical Archaeology;28.0;3;Unknown;;22-01-2025;;;;;Manfio, S. and Von Arnim, Y. (2024.0);Manfio, S. and Von Arnim, Y. (2024.0) 'Mapping Mauritius’ Underwater Cultural Heritage: A GISBased Approach to Integrating Environmental Historical Archaeology and Heritage Management', International Journal of Historical Archaeology,28.0(3), pp. Unknown. https://doi.org/10.1007/s10761-024-00760-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
54;;PrinciplesOfGIS;;;;;;;;;;;;;0;report;Data Analytics and the Fight against Housing Blight: A Guide for Local Leaders;;;;2017.0;https://dash.harvard.edu/handle/1/31852257;;;;1-15;Pough B. & Wan Q.;22-01-2025;;;;;Pough B. & Wan Q. (2017.0);Pough B. & Wan Q. (2017.0) Data Analytics and the Fight against Housing Blight: A Guide for Local Leaders. pp. 1-15. Available at: https://dash.harvard.edu/handle/1/31852257 (Accessed: 22-01-2025);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
55;;PrinciplesOfGIS;;;;;;;;;;;;;0;report;Issue Brief: Blight in Detroit;;;;2020.0;https://detroitsurvey.umich.edu/wp-content/uploads/2021/02/Blight-Report-7-21-2020.pdf;;;;1-6;DDMACS, University of Michican;22-01-2025;;;;;DDMACS, University of Michican (2020.0);DDMACS, University of Michican (2020.0) Issue Brief: Blight in Detroit. pp. 1-6. Available at: https://detroitsurvey.umich.edu/wp-content/uploads/2021/02/Blight-Report-7-21-2020.pdf (Accessed: 22-01-2025);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
56;;PrinciplesOfGIS;;;;;;;;;;;;;0;web;BlightStatus;;;;2025.0;https://datasmart.hks.harvard.edu/solutions/blightstatus;;;;;Data Smart City Solutions;22-01-2025;;;;;Data Smart City Solutions (2025.0);Data Smart City Solutions (2025.0) BlightStatus. Available at: https://datasmart.hks.harvard.edu/solutions/blightstatus (Accessed: 22-01-2025);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
57;;PrinciplesOfGIS;Blasimme;Vayene;;;;A.;E.;;;;;;2;journal;What's next for COVID-19 apps? Governance and oversight;;;;2020.0;https://doi.org/10.1126/science.abd9006;Science;370.0;6518;760-762;;23-01-2025;;;;;Blasimme, A. and Vayene, E. (2020.0);Blasimme, A. and Vayene, E. (2020.0) 'Whats next for COVID-19 apps? Governance and oversight', Science,370.0(6518), pp. 760-762. https://doi.org/10.1126/science.abd9006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
58;;PrinciplesOfGIS;Pędzich;;;;;P.;;;;;;;1;journal;Cartometric analysis of selected works by Leonardo da Vinci;;;;2023.0;https://doi.org/10.2478/pcr-2023-0001;Polish Cartographical Review;55.0;1;Unknown;;23-01-2025;;;;;Pędzich (2023.0);Pędzich, P. (2023.0) 'Cartometric analysis of selected works by Leonardo da Vinci', Polish Cartographical Review,55.0(1), pp. Unknown. https://doi.org/10.2478/pcr-2023-0001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
59;;PrinciplesOfGIS;Sun;Chen;Zhong;Liu;Wang;T.;F.;L.;W.;Y.;;;5;journal;GIS-based mineral prospectivity mapping using machine learning methods: A case study from Tongling ore district, eastern China;;;;2019.0;https://doi.org/10.1016/j.oregeorev.2019.04.003;Ore Geology Reviews;109.0;June 2019;26-49;;23-01-2025;;;;;Sun et al. (2019);Sun, T. et al. (2019) 'GIS-based mineral prospectivity mapping using machine learning methods: A case study from Tongling ore district, eastern China', Ore Geology Reviews,109(June 2019), pp. 26-49. https://doi.org/10.1016/j.oregeorev.2019.04.003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
60;;PrinciplesOfGIS;;;;;;;;;;;;;0;web;John Snow's Maps of the Broad Street Cholera Outbreak;;;;2010.0;http://scienceline.org/wp-content/uploads/2010/05/BroadStreetMap-640x601.gif;;;;;Scienceline.org;23-01-2025;;;;;Scienceline.org (2010);Scienceline.org (2010) John Snows Maps of the Broad Street Cholera Outbreak. Available at: http://scienceline.org/wp-content/uploads/2010/05/BroadStreetMap-640x601.gif (Accessed: 23-01-2025);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;
